cisp;mes;ano;munic;regiao;roubo_veiculo;flag
81;8;2006;Niterói;Grande Niterói;12;mais ou menos
82;8;2006;Maricá;Grande Niterói;3;mais ou menos
88;8;2006;Barra do Pirai;Interior;2;mais ou menos
89;8;2006;Resende;Interior;3;mais ou menos
90;8;2006;Barra Mansa;Interior;2;mais ou menos
91;8;2006;Valença;Interior;0;menos
92;8;2006;Rio das Flores;Interior;0;menos
93;8;2006;Volta Redonda;Interior;6;mais ou menos
94;8;2006;Piraí;Interior;1;mais ou menos
95;8;2006;Vassouras;Interior;1;mais ou menos
96;8;2006;"Miguel Pereira;Paty dos Alferes";Interior;0;menos
97;8;2006;Mendes;Interior;0;menos
98;8;2006;Engenheiro Paulo de Frontin;Interior;0;menos
99;8;2006;Itatiaia;Interior;1;mais ou menos
100;8;2006;"Porto Real;Quatis";Interior;0;menos
101;8;2006;Pinheiral;Interior;0;menos
104;8;2006;São José do Vale do Rio Preto;Interior;0;menos
105;8;2006;Petrópolis;Interior;2;mais ou menos
106;8;2006;Petrópolis;Interior;1;mais ou menos
107;8;2006;Paraíba do Sul;Interior;0;menos
108;8;2006;"Comendador Levy Gasparian;Areal;Três Rios";Interior;1;mais ou menos
109;8;2006;Sapucaia;Interior;1;mais ou menos
110;8;2006;Teresópolis;Interior;1;mais ou menos
111;8;2006;Sumidouro;Interior;1;mais ou menos
112;8;2006;Carmo;Interior;0;menos
118;8;2006;Araruama;Interior;5;mais ou menos
119;8;2006;Rio Bonito;Interior;4;mais ou menos
120;8;2006;Silva Jardim;Interior;1;mais ou menos
121;8;2006;Casimiro de Abreu;Interior;1;mais ou menos
122;8;2006;Conceição de Macabú;Interior;0;menos
123;8;2006;"Macaé;Quissamã;Carapebus";Interior;7;mais ou menos
124;8;2006;Saquarema;Interior;1;mais ou menos
125;8;2006;São Pedro da Aldeia;Interior;4;mais ou menos
126;8;2006;"Cabo Frio;Arraial do Cabo";Interior;4;mais ou menos
127;8;2006;Armação dos Búzios;Interior;1;mais ou menos
128;8;2006;Rio das Ostras;Interior;0;menos
129;8;2006;Iguaba Grande;Interior;1;mais ou menos
134;8;2006;Campos dos Goytacazes;Interior;0;menos
135;8;2006;Itaocara;Interior;0;menos
136;8;2006;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;8;2006;Miracema;Interior;0;menos
138;8;2006;Laje do Muriaé;Interior;0;menos
139;8;2006;Porciúncula;Interior;0;menos
140;8;2006;"Natividade;Varre-Sai";Interior;0;menos
141;8;2006;São Fidélis;Interior;0;menos
142;8;2006;Cambuci;Interior;0;menos
143;8;2006;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;0;menos
144;8;2006;Bom Jesus de Itabapoana;Interior;0;menos
145;8;2006;São João da Barra;Interior;0;menos
146;8;2006;Campos dos Goytacazes;Interior;3;mais ou menos
147;8;2006;São Francisco de Itabapoana;Interior;0;menos
151;8;2006;Nova Friburgo;Interior;2;mais ou menos
152;8;2006;Duas Barras;Interior;0;menos
153;8;2006;Cantagalo;Interior;1;mais ou menos
154;8;2006;"Cordeiro;Macuco";Interior;0;menos
155;8;2006;São Sebastião do Alto;Interior;0;menos
156;8;2006;Santa Maria Madalena;Interior;0;menos
157;8;2006;Trajano de Morais;Interior;0;menos
158;8;2006;Bom Jardim;Interior;0;menos
159;8;2006;Cachoeiras de Macacu;Interior;0;menos
165;8;2006;Mangaratiba;Interior;0;menos
166;8;2006;Angra dos Reis;Interior;1;mais ou menos
167;8;2006;Paraty;Interior;0;menos
168;8;2006;Rio Claro;Interior;0;menos
1;9;2006;Rio de Janeiro;Capital;4;mais ou menos
4;9;2006;Rio de Janeiro;Capital;9;mais ou menos
5;9;2006;Rio de Janeiro;Capital;8;mais ou menos
6;9;2006;Rio de Janeiro;Capital;20;mais ou menos
7;9;2006;Rio de Janeiro;Capital;4;mais ou menos
9;9;2006;Rio de Janeiro;Capital;21;mais ou menos
10;9;2006;Rio de Janeiro;Capital;9;mais ou menos
12;9;2006;Rio de Janeiro;Capital;1;mais ou menos
13;9;2006;Rio de Janeiro;Capital;1;mais ou menos
14;9;2006;Rio de Janeiro;Capital;2;mais ou menos
15;9;2006;Rio de Janeiro;Capital;1;mais ou menos
16;9;2006;Rio de Janeiro;Capital;47;mais
17;9;2006;Rio de Janeiro;Capital;58;mais
18;9;2006;Rio de Janeiro;Capital;38;mais
19;9;2006;Rio de Janeiro;Capital;69;mais
20;9;2006;Rio de Janeiro;Capital;84;mais
21;9;2006;Rio de Janeiro;Capital;160;mais
22;9;2006;Rio de Janeiro;Capital;110;mais
23;9;2006;Rio de Janeiro;Capital;64;mais
24;9;2006;Rio de Janeiro;Capital;61;mais
25;9;2006;Rio de Janeiro;Capital;46;mais
26;9;2006;Rio de Janeiro;Capital;76;mais
27;9;2006;Rio de Janeiro;Capital;118;mais
28;9;2006;Rio de Janeiro;Capital;84;mais
29;9;2006;Rio de Janeiro;Capital;44;mais
30;9;2006;Rio de Janeiro;Capital;69;mais
31;9;2006;Rio de Janeiro;Capital;61;mais
32;9;2006;Rio de Janeiro;Capital;38;mais
33;9;2006;Rio de Janeiro;Capital;85;mais
34;9;2006;Rio de Janeiro;Capital;146;mais
35;9;2006;Rio de Janeiro;Capital;71;mais
36;9;2006;Rio de Janeiro;Capital;25;mais
37;9;2006;Rio de Janeiro;Capital;78;mais
38;9;2006;Rio de Janeiro;Capital;96;mais
39;9;2006;Rio de Janeiro;Capital;81;mais
40;9;2006;Rio de Janeiro;Capital;71;mais
41;9;2006;Rio de Janeiro;Capital;61;mais
43;9;2006;Rio de Janeiro;Capital;2;mais ou menos
44;9;2006;Rio de Janeiro;Capital;75;mais
48;9;2006;Seropédica;Baixada Fluminense;8;mais ou menos
50;9;2006;Itaguaí;Baixada Fluminense;8;mais ou menos
51;9;2006;Paracambi;Baixada Fluminense;1;mais ou menos
52;9;2006;Nova Iguaçu;Baixada Fluminense;62;mais
53;9;2006;Mesquita;Baixada Fluminense;26;mais
54;9;2006;Belford Roxo;Baixada Fluminense;28;mais
55;9;2006;Queimados;Baixada Fluminense;1;mais ou menos
56;9;2006;Nova Iguaçu;Baixada Fluminense;29;mais
57;9;2006;Nilópolis;Baixada Fluminense;40;mais
58;9;2006;Nova Iguaçu;Baixada Fluminense;39;mais
59;9;2006;Duque de Caxias;Baixada Fluminense;140;mais
60;9;2006;Duque de Caxias;Baixada Fluminense;35;mais
61;9;2006;Duque de Caxias;Baixada Fluminense;6;mais ou menos
62;9;2006;Duque de Caxias;Baixada Fluminense;21;mais ou menos
63;9;2006;Japeri;Baixada Fluminense;0;menos
64;9;2006;São João de Meriti;Baixada Fluminense;65;mais
65;9;2006;"Magé;Guapimirim";Baixada Fluminense;5;mais ou menos
66;9;2006;Magé;Baixada Fluminense;2;mais ou menos
71;9;2006;"Itaboraí;Tanguá";Interior;14;mais ou menos
72;9;2006;São Gonçalo;Grande Niterói;33;mais
73;9;2006;São Gonçalo;Grande Niterói;33;mais
74;9;2006;São Gonçalo;Grande Niterói;41;mais
75;9;2006;São Gonçalo;Grande Niterói;6;mais ou menos
76;9;2006;Niterói;Grande Niterói;19;mais ou menos
77;9;2006;Niterói;Grande Niterói;16;mais ou menos
78;9;2006;Niterói;Grande Niterói;19;mais ou menos
79;9;2006;Niterói;Grande Niterói;4;mais ou menos
81;9;2006;Niterói;Grande Niterói;10;mais ou menos
82;9;2006;Maricá;Grande Niterói;2;mais ou menos
88;9;2006;Barra do Pirai;Interior;1;mais ou menos
89;9;2006;Resende;Interior;6;mais ou menos
90;9;2006;Barra Mansa;Interior;1;mais ou menos
91;9;2006;Valença;Interior;0;menos
92;9;2006;Rio das Flores;Interior;0;menos
93;9;2006;Volta Redonda;Interior;6;mais ou menos
94;9;2006;Piraí;Interior;0;menos
95;9;2006;Vassouras;Interior;0;menos
96;9;2006;"Miguel Pereira;Paty dos Alferes";Interior;1;mais ou menos
97;9;2006;Mendes;Interior;0;menos
98;9;2006;Engenheiro Paulo de Frontin;Interior;0;menos
99;9;2006;Itatiaia;Interior;1;mais ou menos
100;9;2006;"Porto Real;Quatis";Interior;2;mais ou menos
101;9;2006;Pinheiral;Interior;0;menos
104;9;2006;São José do Vale do Rio Preto;Interior;0;menos
105;9;2006;Petrópolis;Interior;5;mais ou menos
106;9;2006;Petrópolis;Interior;3;mais ou menos
107;9;2006;Paraíba do Sul;Interior;0;menos
108;9;2006;"Comendador Levy Gasparian;Areal;Três Rios";Interior;1;mais ou menos
109;9;2006;Sapucaia;Interior;1;mais ou menos
110;9;2006;Teresópolis;Interior;2;mais ou menos
111;9;2006;Sumidouro;Interior;0;menos
112;9;2006;Carmo;Interior;0;menos
118;9;2006;Araruama;Interior;3;mais ou menos
119;9;2006;Rio Bonito;Interior;2;mais ou menos
120;9;2006;Silva Jardim;Interior;1;mais ou menos
121;9;2006;Casimiro de Abreu;Interior;1;mais ou menos
122;9;2006;Conceição de Macabú;Interior;0;menos
123;9;2006;"Macaé;Quissamã;Carapebus";Interior;5;mais ou menos
124;9;2006;Saquarema;Interior;0;menos
125;9;2006;São Pedro da Aldeia;Interior;3;mais ou menos
126;9;2006;"Cabo Frio;Arraial do Cabo";Interior;5;mais ou menos
127;9;2006;Armação dos Búzios;Interior;1;mais ou menos
128;9;2006;Rio das Ostras;Interior;4;mais ou menos
129;9;2006;Iguaba Grande;Interior;0;menos
134;9;2006;Campos dos Goytacazes;Interior;2;mais ou menos
135;9;2006;Itaocara;Interior;1;mais ou menos
136;9;2006;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;9;2006;Miracema;Interior;0;menos
138;9;2006;Laje do Muriaé;Interior;0;menos
139;9;2006;Porciúncula;Interior;0;menos
140;9;2006;"Natividade;Varre-Sai";Interior;0;menos
141;9;2006;São Fidélis;Interior;0;menos
142;9;2006;Cambuci;Interior;0;menos
143;9;2006;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;0;menos
144;9;2006;Bom Jesus de Itabapoana;Interior;0;menos
145;9;2006;São João da Barra;Interior;0;menos
146;9;2006;Campos dos Goytacazes;Interior;1;mais ou menos
147;9;2006;São Francisco de Itabapoana;Interior;1;mais ou menos
151;9;2006;Nova Friburgo;Interior;1;mais ou menos
152;9;2006;Duas Barras;Interior;0;menos
153;9;2006;Cantagalo;Interior;0;menos
154;9;2006;"Cordeiro;Macuco";Interior;0;menos
155;9;2006;São Sebastião do Alto;Interior;0;menos
156;9;2006;Santa Maria Madalena;Interior;0;menos
157;9;2006;Trajano de Morais;Interior;0;menos
158;9;2006;Bom Jardim;Interior;0;menos
159;9;2006;Cachoeiras de Macacu;Interior;1;mais ou menos
165;9;2006;Mangaratiba;Interior;4;mais ou menos
166;9;2006;Angra dos Reis;Interior;0;menos
167;9;2006;Paraty;Interior;0;menos
168;9;2006;Rio Claro;Interior;0;menos
1;10;2006;Rio de Janeiro;Capital;6;mais ou menos
4;10;2006;Rio de Janeiro;Capital;20;mais ou menos
5;10;2006;Rio de Janeiro;Capital;6;mais ou menos
6;10;2006;Rio de Janeiro;Capital;10;mais ou menos
7;10;2006;Rio de Janeiro;Capital;8;mais ou menos
9;10;2006;Rio de Janeiro;Capital;13;mais ou menos
10;10;2006;Rio de Janeiro;Capital;8;mais ou menos
12;10;2006;Rio de Janeiro;Capital;2;mais ou menos
13;10;2006;Rio de Janeiro;Capital;0;menos
14;10;2006;Rio de Janeiro;Capital;3;mais ou menos
15;10;2006;Rio de Janeiro;Capital;6;mais ou menos
16;10;2006;Rio de Janeiro;Capital;54;mais
17;10;2006;Rio de Janeiro;Capital;44;mais
18;10;2006;Rio de Janeiro;Capital;38;mais
19;10;2006;Rio de Janeiro;Capital;74;mais
20;10;2006;Rio de Janeiro;Capital;74;mais
21;10;2006;Rio de Janeiro;Capital;143;mais
22;10;2006;Rio de Janeiro;Capital;119;mais
23;10;2006;Rio de Janeiro;Capital;58;mais
24;10;2006;Rio de Janeiro;Capital;62;mais
25;10;2006;Rio de Janeiro;Capital;32;mais
26;10;2006;Rio de Janeiro;Capital;57;mais
27;10;2006;Rio de Janeiro;Capital;120;mais
28;10;2006;Rio de Janeiro;Capital;80;mais
29;10;2006;Rio de Janeiro;Capital;66;mais
30;10;2006;Rio de Janeiro;Capital;48;mais
31;10;2006;Rio de Janeiro;Capital;59;mais
32;10;2006;Rio de Janeiro;Capital;36;mais
33;10;2006;Rio de Janeiro;Capital;91;mais
34;10;2006;Rio de Janeiro;Capital;163;mais
35;10;2006;Rio de Janeiro;Capital;72;mais
36;10;2006;Rio de Janeiro;Capital;17;mais ou menos
37;10;2006;Rio de Janeiro;Capital;83;mais
38;10;2006;Rio de Janeiro;Capital;91;mais
39;10;2006;Rio de Janeiro;Capital;116;mais
40;10;2006;Rio de Janeiro;Capital;91;mais
41;10;2006;Rio de Janeiro;Capital;47;mais
43;10;2006;Rio de Janeiro;Capital;9;mais ou menos
44;10;2006;Rio de Janeiro;Capital;72;mais
48;10;2006;Seropédica;Baixada Fluminense;8;mais ou menos
50;10;2006;Itaguaí;Baixada Fluminense;6;mais ou menos
51;10;2006;Paracambi;Baixada Fluminense;0;menos
52;10;2006;Nova Iguaçu;Baixada Fluminense;47;mais
53;10;2006;Mesquita;Baixada Fluminense;20;mais ou menos
54;10;2006;Belford Roxo;Baixada Fluminense;38;mais
55;10;2006;Queimados;Baixada Fluminense;0;menos
56;10;2006;Nova Iguaçu;Baixada Fluminense;35;mais
57;10;2006;Nilópolis;Baixada Fluminense;43;mais
58;10;2006;Nova Iguaçu;Baixada Fluminense;48;mais
59;10;2006;Duque de Caxias;Baixada Fluminense;170;mais
60;10;2006;Duque de Caxias;Baixada Fluminense;41;mais
61;10;2006;Duque de Caxias;Baixada Fluminense;10;mais ou menos
62;10;2006;Duque de Caxias;Baixada Fluminense;25;mais
63;10;2006;Japeri;Baixada Fluminense;1;mais ou menos
64;10;2006;São João de Meriti;Baixada Fluminense;82;mais
65;10;2006;"Magé;Guapimirim";Baixada Fluminense;10;mais ou menos
66;10;2006;Magé;Baixada Fluminense;4;mais ou menos
71;10;2006;"Itaboraí;Tanguá";Interior;15;mais ou menos
72;10;2006;São Gonçalo;Grande Niterói;35;mais
73;10;2006;São Gonçalo;Grande Niterói;31;mais
74;10;2006;São Gonçalo;Grande Niterói;20;mais ou menos
75;10;2006;São Gonçalo;Grande Niterói;13;mais ou menos
76;10;2006;Niterói;Grande Niterói;6;mais ou menos
77;10;2006;Niterói;Grande Niterói;15;mais ou menos
78;10;2006;Niterói;Grande Niterói;23;mais ou menos
79;10;2006;Niterói;Grande Niterói;4;mais ou menos
81;10;2006;Niterói;Grande Niterói;13;mais ou menos
82;10;2006;Maricá;Grande Niterói;10;mais ou menos
88;10;2006;Barra do Pirai;Interior;0;menos
89;10;2006;Resende;Interior;1;mais ou menos
90;10;2006;Barra Mansa;Interior;6;mais ou menos
91;10;2006;Valença;Interior;1;mais ou menos
92;10;2006;Rio das Flores;Interior;0;menos
93;10;2006;Volta Redonda;Interior;1;mais ou menos
94;10;2006;Piraí;Interior;1;mais ou menos
95;10;2006;Vassouras;Interior;0;menos
96;10;2006;"Miguel Pereira;Paty dos Alferes";Interior;0;menos
97;10;2006;Mendes;Interior;0;menos
98;10;2006;Engenheiro Paulo de Frontin;Interior;0;menos
99;10;2006;Itatiaia;Interior;0;menos
100;10;2006;"Porto Real;Quatis";Interior;1;mais ou menos
101;10;2006;Pinheiral;Interior;0;menos
104;10;2006;São José do Vale do Rio Preto;Interior;0;menos
105;10;2006;Petrópolis;Interior;2;mais ou menos
106;10;2006;Petrópolis;Interior;2;mais ou menos
107;10;2006;Paraíba do Sul;Interior;0;menos
108;10;2006;"Comendador Levy Gasparian;Areal;Três Rios";Interior;3;mais ou menos
109;10;2006;Sapucaia;Interior;0;menos
110;10;2006;Teresópolis;Interior;2;mais ou menos
111;10;2006;Sumidouro;Interior;0;menos
112;10;2006;Carmo;Interior;0;menos
118;10;2006;Araruama;Interior;1;mais ou menos
119;10;2006;Rio Bonito;Interior;1;mais ou menos
120;10;2006;Silva Jardim;Interior;1;mais ou menos
121;10;2006;Casimiro de Abreu;Interior;4;mais ou menos
122;10;2006;Conceição de Macabú;Interior;0;menos
123;10;2006;"Macaé;Quissamã;Carapebus";Interior;14;mais ou menos
124;10;2006;Saquarema;Interior;2;mais ou menos
125;10;2006;São Pedro da Aldeia;Interior;1;mais ou menos
126;10;2006;"Cabo Frio;Arraial do Cabo";Interior;3;mais ou menos
127;10;2006;Armação dos Búzios;Interior;2;mais ou menos
128;10;2006;Rio das Ostras;Interior;6;mais ou menos
129;10;2006;Iguaba Grande;Interior;0;menos
134;10;2006;Campos dos Goytacazes;Interior;4;mais ou menos
135;10;2006;Itaocara;Interior;0;menos
136;10;2006;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;10;2006;Miracema;Interior;0;menos
138;10;2006;Laje do Muriaé;Interior;0;menos
139;10;2006;Porciúncula;Interior;0;menos
140;10;2006;"Natividade;Varre-Sai";Interior;0;menos
141;10;2006;São Fidélis;Interior;0;menos
142;10;2006;Cambuci;Interior;0;menos
143;10;2006;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;0;menos
144;10;2006;Bom Jesus de Itabapoana;Interior;1;mais ou menos
145;10;2006;São João da Barra;Interior;0;menos
146;10;2006;Campos dos Goytacazes;Interior;3;mais ou menos
147;10;2006;São Francisco de Itabapoana;Interior;0;menos
151;10;2006;Nova Friburgo;Interior;3;mais ou menos
152;10;2006;Duas Barras;Interior;0;menos
153;10;2006;Cantagalo;Interior;0;menos
154;10;2006;"Cordeiro;Macuco";Interior;0;menos
155;10;2006;São Sebastião do Alto;Interior;0;menos
156;10;2006;Santa Maria Madalena;Interior;0;menos
157;10;2006;Trajano de Morais;Interior;0;menos
158;10;2006;Bom Jardim;Interior;0;menos
159;10;2006;Cachoeiras de Macacu;Interior;1;mais ou menos
165;10;2006;Mangaratiba;Interior;1;mais ou menos
166;10;2006;Angra dos Reis;Interior;0;menos
167;10;2006;Paraty;Interior;0;menos
168;10;2006;Rio Claro;Interior;0;menos
1;11;2006;Rio de Janeiro;Capital;7;mais ou menos
4;11;2006;Rio de Janeiro;Capital;4;mais ou menos
5;11;2006;Rio de Janeiro;Capital;8;mais ou menos
6;11;2006;Rio de Janeiro;Capital;22;mais ou menos
7;11;2006;Rio de Janeiro;Capital;6;mais ou menos
9;11;2006;Rio de Janeiro;Capital;11;mais ou menos
10;11;2006;Rio de Janeiro;Capital;12;mais ou menos
12;11;2006;Rio de Janeiro;Capital;1;mais ou menos
13;11;2006;Rio de Janeiro;Capital;1;mais ou menos
14;11;2006;Rio de Janeiro;Capital;6;mais ou menos
15;11;2006;Rio de Janeiro;Capital;4;mais ou menos
16;11;2006;Rio de Janeiro;Capital;67;mais
17;11;2006;Rio de Janeiro;Capital;49;mais
18;11;2006;Rio de Janeiro;Capital;35;mais
19;11;2006;Rio de Janeiro;Capital;45;mais
20;11;2006;Rio de Janeiro;Capital;60;mais
21;11;2006;Rio de Janeiro;Capital;144;mais
22;11;2006;Rio de Janeiro;Capital;99;mais
23;11;2006;Rio de Janeiro;Capital;43;mais
24;11;2006;Rio de Janeiro;Capital;50;mais
25;11;2006;Rio de Janeiro;Capital;32;mais
26;11;2006;Rio de Janeiro;Capital;73;mais
27;11;2006;Rio de Janeiro;Capital;132;mais
28;11;2006;Rio de Janeiro;Capital;70;mais
29;11;2006;Rio de Janeiro;Capital;72;mais
30;11;2006;Rio de Janeiro;Capital;63;mais
31;11;2006;Rio de Janeiro;Capital;51;mais
32;11;2006;Rio de Janeiro;Capital;34;mais
33;11;2006;Rio de Janeiro;Capital;83;mais
34;11;2006;Rio de Janeiro;Capital;157;mais
35;11;2006;Rio de Janeiro;Capital;62;mais
36;11;2006;Rio de Janeiro;Capital;18;mais ou menos
37;11;2006;Rio de Janeiro;Capital;83;mais
38;11;2006;Rio de Janeiro;Capital;118;mais
39;11;2006;Rio de Janeiro;Capital;86;mais
40;11;2006;Rio de Janeiro;Capital;75;mais
41;11;2006;Rio de Janeiro;Capital;56;mais
43;11;2006;Rio de Janeiro;Capital;7;mais ou menos
44;11;2006;Rio de Janeiro;Capital;92;mais
48;11;2006;Seropédica;Baixada Fluminense;9;mais ou menos
50;11;2006;Itaguaí;Baixada Fluminense;7;mais ou menos
51;11;2006;Paracambi;Baixada Fluminense;0;menos
52;11;2006;Nova Iguaçu;Baixada Fluminense;59;mais
53;11;2006;Mesquita;Baixada Fluminense;22;mais ou menos
54;11;2006;Belford Roxo;Baixada Fluminense;34;mais
55;11;2006;Queimados;Baixada Fluminense;10;mais ou menos
56;11;2006;Nova Iguaçu;Baixada Fluminense;19;mais ou menos
57;11;2006;Nilópolis;Baixada Fluminense;30;mais
58;11;2006;Nova Iguaçu;Baixada Fluminense;31;mais
59;11;2006;Duque de Caxias;Baixada Fluminense;153;mais
60;11;2006;Duque de Caxias;Baixada Fluminense;40;mais
61;11;2006;Duque de Caxias;Baixada Fluminense;8;mais ou menos
62;11;2006;Duque de Caxias;Baixada Fluminense;11;mais ou menos
63;11;2006;Japeri;Baixada Fluminense;1;mais ou menos
64;11;2006;São João de Meriti;Baixada Fluminense;97;mais
65;11;2006;"Magé;Guapimirim";Baixada Fluminense;4;mais ou menos
66;11;2006;Magé;Baixada Fluminense;4;mais ou menos
71;11;2006;"Itaboraí;Tanguá";Interior;29;mais
72;11;2006;São Gonçalo;Grande Niterói;37;mais
73;11;2006;São Gonçalo;Grande Niterói;25;mais
74;11;2006;São Gonçalo;Grande Niterói;29;mais
75;11;2006;São Gonçalo;Grande Niterói;9;mais ou menos
76;11;2006;Niterói;Grande Niterói;15;mais ou menos
77;11;2006;Niterói;Grande Niterói;14;mais ou menos
78;11;2006;Niterói;Grande Niterói;28;mais
79;11;2006;Niterói;Grande Niterói;6;mais ou menos
81;11;2006;Niterói;Grande Niterói;20;mais ou menos
82;11;2006;Maricá;Grande Niterói;11;mais ou menos
88;11;2006;Barra do Pirai;Interior;2;mais ou menos
89;11;2006;Resende;Interior;6;mais ou menos
90;11;2006;Barra Mansa;Interior;5;mais ou menos
91;11;2006;Valença;Interior;2;mais ou menos
92;11;2006;Rio das Flores;Interior;0;menos
93;11;2006;Volta Redonda;Interior;1;mais ou menos
94;11;2006;Piraí;Interior;0;menos
95;11;2006;Vassouras;Interior;1;mais ou menos
96;11;2006;"Miguel Pereira;Paty dos Alferes";Interior;0;menos
97;11;2006;Mendes;Interior;0;menos
98;11;2006;Engenheiro Paulo de Frontin;Interior;0;menos
99;11;2006;Itatiaia;Interior;0;menos
100;11;2006;"Porto Real;Quatis";Interior;0;menos
101;11;2006;Pinheiral;Interior;0;menos
104;11;2006;São José do Vale do Rio Preto;Interior;0;menos
105;11;2006;Petrópolis;Interior;1;mais ou menos
106;11;2006;Petrópolis;Interior;1;mais ou menos
107;11;2006;Paraíba do Sul;Interior;1;mais ou menos
108;11;2006;"Comendador Levy Gasparian;Areal;Três Rios";Interior;2;mais ou menos
109;11;2006;Sapucaia;Interior;0;menos
110;11;2006;Teresópolis;Interior;0;menos
111;11;2006;Sumidouro;Interior;0;menos
112;11;2006;Carmo;Interior;1;mais ou menos
118;11;2006;Araruama;Interior;4;mais ou menos
119;11;2006;Rio Bonito;Interior;2;mais ou menos
120;11;2006;Silva Jardim;Interior;0;menos
121;11;2006;Casimiro de Abreu;Interior;0;menos
122;11;2006;Conceição de Macabú;Interior;0;menos
123;11;2006;"Macaé;Quissamã;Carapebus";Interior;7;mais ou menos
124;11;2006;Saquarema;Interior;2;mais ou menos
125;11;2006;São Pedro da Aldeia;Interior;3;mais ou menos
126;11;2006;"Cabo Frio;Arraial do Cabo";Interior;7;mais ou menos
127;11;2006;Armação dos Búzios;Interior;0;menos
128;11;2006;Rio das Ostras;Interior;7;mais ou menos
129;11;2006;Iguaba Grande;Interior;0;menos
134;11;2006;Campos dos Goytacazes;Interior;2;mais ou menos
135;11;2006;Itaocara;Interior;0;menos
136;11;2006;"Santo Antônio de Pádua;Aperibé";Interior;1;mais ou menos
137;11;2006;Miracema;Interior;0;menos
138;11;2006;Laje do Muriaé;Interior;0;menos
139;11;2006;Porciúncula;Interior;0;menos
140;11;2006;"Natividade;Varre-Sai";Interior;0;menos
141;11;2006;São Fidélis;Interior;1;mais ou menos
142;11;2006;Cambuci;Interior;0;menos
143;11;2006;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";Interior;0;menos
144;11;2006;Bom Jesus de Itabapoana;Interior;0;menos
145;11;2006;São João da Barra;Interior;0;menos
146;11;2006;Campos dos Goytacazes;Interior;2;mais ou menos
147;11;2006;São Francisco de Itabapoana;Interior;0;menos
151;11;2006;Nova Friburgo;Interior;6;mais ou menos
152;11;2006;Duas Barras;Interior;0;menos
153;11;2006;Cantagalo;Interior;0;menos
154;11;2006;"Cordeiro;Macuco";Interior;0;menos
155;11;2006;São Sebastião do Alto;Interior;0;menos
156;11;2006;Santa Maria Madalena;Interior;0;menos
157;11;2006;Trajano de Morais;Interior;0;menos
158;11;2006;Bom Jardim;Interior;0;menos
159;11;2006;Cachoeiras de Macacu;Interior;1;mais ou menos
165;11;2006;Mangaratiba;Interior;2;mais ou menos
166;11;2006;Angra dos Reis;Interior;0;menos
167;11;2006;Paraty;Interior;1;mais ou menos
168;11;2006;Rio Claro;Interior;0;menos
1;12;2006;Rio de Janeiro;Capital;3;mais ou menos
4;12;2006;Rio de Janeiro;Capital;10;mais ou menos
5;12;2006;Rio de Janeiro;Capital;6;mais ou menos
6;12;2006;Rio de Janeiro;Capital;13;mais ou menos
7;12;2006;Rio de Janeiro;Capital;2;mais ou menos
9;12;2006;Rio de Janeiro;Capital;20;mais ou menos
10;12;2006;Rio de Janeiro;Capital;8;mais ou menos
12;12;2006;Rio de Janeiro;Capital;3;mais ou menos
13;12;2006;Rio de Janeiro;Capital;2;mais ou menos
14;12;2006;Rio de Janeiro;Capital;11;mais ou menos
15;12;2006;Rio de Janeiro;Capital;8;mais ou menos
16;12;2006;Rio de Janeiro;Capital;39;mais
17;12;2006;Rio de Janeiro;Capital;40;mais
18;12;2006;Rio de Janeiro;Capital;42;mais
19;12;2006;Rio de Janeiro;Capital;68;mais
20;12;2006;Rio de Janeiro;Capital;72;mais
21;12;2006;Rio de Janeiro;Capital;130;mais
22;12;2006;Rio de Janeiro;Capital;76;mais
23;12;2006;Rio de Janeiro;Capital;46;mais
24;12;2006;Rio de Janeiro;Capital;46;mais
25;12;2006;Rio de Janeiro;Capital;45;mais
26;12;2006;Rio de Janeiro;Capital;56;mais
27;12;2006;Rio de Janeiro;Capital;125;mais
28;12;2006;Rio de Janeiro;Capital;47;mais
29;12;2006;Rio de Janeiro;Capital;67;mais
30;12;2006;Rio de Janeiro;Capital;45;mais
31;12;2006;Rio de Janeiro;Capital;38;mais
32;12;2006;Rio de Janeiro;Capital;56;mais
33;12;2006;Rio de Janeiro;Capital;75;mais
34;12;2006;Rio de Janeiro;Capital;136;mais
35;12;2006;Rio de Janeiro;Capital;74;mais
36;12;2006;Rio de Janeiro;Capital;25;mais
37;12;2006;Rio de Janeiro;Capital;64;mais
38;12;2006;Rio de Janeiro;Capital;87;mais
39;12;2006;Rio de Janeiro;Capital;108;mais
40;12;2006;Rio de Janeiro;Capital;85;mais
41;12;2006;Rio de Janeiro;Capital;30;mais
43;12;2006;Rio de Janeiro;Capital;8;mais ou menos
44;12;2006;Rio de Janeiro;Capital;89;mais
48;12;2006;Seropédica;Baixada Fluminense;7;mais ou menos
50;12;2006;Itaguaí;Baixada Fluminense;13;mais ou menos
51;12;2006;Paracambi;Baixada Fluminense;1;mais ou menos
52;12;2006;Nova Iguaçu;Baixada Fluminense;51;mais
